FAIL | Works and Days | Hesiod | no source found — minimal stub written
FAIL | Never Split the Difference | Voss | no source found — minimal stub written
FAIL | Bug Bounty Bootcamp | Li | no source found — minimal stub written
FAIL | Never Split the Difference | Voss | no source found — minimal stub written
FAIL | Real World Bug Hunting | Yaworski | no source found — minimal stub written
FAIL | Real World Bug Hunting | Yaworski | no source found — minimal stub written
FAIL | The Hacker Playbook | Kim | no source found — minimal stub written
FAIL | The Hacker Playbook | Kim | no source found — minimal stub written
FAIL | The Hacker Playbook 2 | Kim | no source found — minimal stub written
FAIL | The Hacker Playbook 2 | Kim | no source found — minimal stub written
FAIL | The Hacker Playbook 3 | Kim | no source found — minimal stub written
FAIL | The Hacker Playbook 3 | Kim | no source found — minimal stub written
FAIL | Penetration Testing | Georgia Weidman | no source found — minimal stub written
FAIL | Penetration Testing | Georgia Weidman | no source found — minimal stub written
FAIL | Metasploit The Penetration Testers Guide | Kennedy | no source found — minimal stub written
FAIL | Metasploit The Penetration Testers Guide | Kennedy | no source found — minimal stub written
FAIL | The Linux Programming Interface | Kerrisk | no source found — minimal stub written
FAIL | The Linux Programming Interface | Kerrisk | no source found — minimal stub written
FAIL | Linux Kernel Development | Love | no source found — minimal stub written
FAIL | Linux Kernel Development | Love | no source found — minimal stub written
FAIL | Windows Internals | Russinovich | no source found — minimal stub written
FAIL | Windows Internals | Russinovich | no source found — minimal stub written
FAIL | Mac OS X Internals | Singh | no source found — minimal stub written
FAIL | Mac OS X Internals | Singh | no source found — minimal stub written
FAIL | Operating Systems Three Easy Pieces | Arpaci-Dusseau | no source found — minimal stub written
FAIL | A Guide to Kernel Exploitation | Perla | no source found — minimal stub written
FAIL | Operating Systems Three Easy Pieces | Arpaci-Dusseau | no source found — minimal stub written
FAIL | Rootkits Subverting the Windows Kernel | Butler | no source found — minimal stub written
FAIL | Rootkits Subverting the Windows Kernel | Butler | no source found — minimal stub written
FAIL | The Rootkit Arsenal | Blunden | no source found — minimal stub written
FAIL | The Rootkit Arsenal | Blunden | no source found — minimal stub written
FAIL | Black Hat Python | Seitz | no source found — minimal stub written
FAIL | Black Hat Python | Seitz | no source found — minimal stub written
FAIL | Violent Python | O'Connor | no source found — minimal stub written
FAIL | Violent Python | O'Connor | no source found — minimal stub written
FAIL | Learning Python for Forensics | unknown | no source found — minimal stub written
FAIL | Learning Python for Forensics | unknown | no source found — minimal stub written
FAIL | The Browser Hacker Handbook | Alcorn | no source found — minimal stub written
FAIL | The Browser Hacker Handbook | Alcorn | no source found — minimal stub written
FAIL | SQL Injection Attacks and Defense | Clarke | no source found — minimal stub written
FAIL | XSS Attacks | Grossman | no source found — minimal stub written
FAIL | SQL Injection Attacks and Defense | Clarke | no source found — minimal stub written
FAIL | Android Hackers Handbook | Drake | no source found — minimal stub written
FAIL | XSS Attacks | Grossman | no source found — minimal stub written
FAIL | iOS Hackers Handbook | Miller | no source found — minimal stub written
FAIL | iOS Hackers Handbook | Miller | no source found — minimal stub written
FAIL | Car Hacker Handbook | Smith | no source found — minimal stub written
FAIL | Car Hacker Handbook | Smith | no source found — minimal stub written
FAIL | The Brain That Changes Itself | Doidge | no source found — minimal stub written
FAIL | The Brain That Changes Itself | Doidge | no source found — minimal stub written
FAIL | Incognito The Secret Lives of the Brain | Eagleman | no source found — minimal stub written
FAIL | The Tell Tale Brain | Ramachandran | no source found — minimal stub written
FAIL | The Tell Tale Brain | Ramachandran | no source found — minimal stub written
FAIL | How Emotions Are Made | Barrett | no source found — minimal stub written
FAIL | How Emotions Are Made | Barrett | no source found — minimal stub written
FAIL | The Brain | Eagleman | no source found — minimal stub written
FAIL | The Brain | Eagleman | no source found — minimal stub written
FAIL | Phantoms in the Brain | Ramachandran | no source found — minimal stub written
FAIL | Phantoms in the Brain | Ramachandran | no source found — minimal stub written
FAIL | The 48 Laws of Power | Greene | no source found — minimal stub written
FAIL | The 48 Laws of Power | Greene | no source found — minimal stub written
FAIL | The 33 Strategies of War | Greene | no source found — minimal stub written
FAIL | The 33 Strategies of War | Greene | no source found — minimal stub written
FAIL | The Laws of Human Nature | Greene | no source found — minimal stub written
FAIL | The Laws of Human Nature | Greene | no source found — minimal stub written
FAIL | Leadership | Burns | no source found — minimal stub written
FAIL | Leadership | Burns | no source found — minimal stub written
FAIL | On Becoming a Leader | Bennis | no source found — minimal stub written
FAIL | On Becoming a Leader | Bennis | no source found — minimal stub written
FAIL | Good to Great | Collins | no source found — minimal stub written
FAIL | Good to Great | Collins | no source found — minimal stub written
FAIL | The Fifth Discipline | Senge | no source found — minimal stub written
FAIL | The Fifth Discipline | Senge | no source found — minimal stub written
FAIL | Our Final Invention | Barrat | no source found — minimal stub written
FAIL | Our Final Invention | Barrat | no source found — minimal stub written
FAIL | The Coming Wave | Suleyman | no source found — minimal stub written
FAIL | The Coming Wave | Suleyman | no source found — minimal stub written
FAIL | Power and Progress | Acemoglu | no source found — minimal stub written
FAIL | Power and Progress | Acemoglu | no source found — minimal stub written
FAIL | The Age of Surveillance Capitalism | Zuboff | no source found — minimal stub written
FAIL | The Age of Surveillance Capitalism | Zuboff | no source found — minimal stub written
FAIL | The Act of Creation | Koestler | no source found — minimal stub written
FAIL | The Act of Creation | Koestler | no source found — minimal stub written
FAIL | Creativity | Csikszentmihalyi | no source found — minimal stub written
FAIL | Where Good Ideas Come From | Johnson | no source found — minimal stub written
FAIL | Creativity | Csikszentmihalyi | no source found — minimal stub written
FAIL | A Mathematician Apology | Hardy | no source found — minimal stub written
FAIL | A Mathematician Apology | Hardy | no source found — minimal stub written
FAIL | What Is Mathematics | Courant | no source found — minimal stub written
FAIL | What Is Mathematics | Courant | no source found — minimal stub written
FAIL | Proofs from the Book | Aigner | no source found — minimal stub written
FAIL | Proofs from the Book | Aigner | no source found — minimal stub written
FAIL | The Analects | Confucius | no source found — minimal stub written
FAIL | Dao De Jing | Lao Tzu | no source found — minimal stub written
FAIL | The Upanishads | unknown | no source found — minimal stub written
FAIL | The Dhammapada | unknown | no source found — minimal stub written
FAIL | Discourses | Epictetus | no source found — minimal stub written
FAIL | The Enchiridion | Epictetus | no source found — minimal stub written
FAIL | Discourses | Epictetus | no source found — minimal stub written
FAIL | One Hundred Years of Solitude | Marquez | no source found — minimal stub written
FAIL | One Hundred Years of Solitude | Marquez | no source found — minimal stub written
FAIL | The Master and Margarita | Bulgakov | no source found — minimal stub written
FAIL | The Master and Margarita | Bulgakov | no source found — minimal stub written
FAIL | Infinite Jest | Wallace | no source found — minimal stub written
FAIL | Infinite Jest | Wallace | no source found — minimal stub written
FAIL | Gravity Rainbow | Pynchon | no source found — minimal stub written
FAIL | Gravity Rainbow | Pynchon | no source found — minimal stub written
FAIL | Blood Meridian | McCarthy | no source found — minimal stub written
FAIL | Steppenwolf | Hesse | no source found — minimal stub written
FAIL | Siddhartha | Hesse | no source found — minimal stub written
FAIL | Demian | Hesse | no source found — minimal stub written
FAIL | The Glass Bead Game | Hesse | no source found — minimal stub written
FAIL | The Glass Bead Game | Hesse | no source found — minimal stub written
FAIL | Nausea | Sartre | no source found — minimal stub written
FAIL | Nausea | Sartre | no source found — minimal stub written
FAIL | Invisible Man | Ellison | no source found — minimal stub written
FAIL | Things Fall Apart | Achebe | no source found — minimal stub written
FAIL | Things Fall Apart | Achebe | no source found — minimal stub written
FAIL | If on a Winters Night a Traveler | Calvino | no source found — minimal stub written
FAIL | If on a Winters Night a Traveler | Calvino | no source found — minimal stub written
FAIL | The Aleph | Borges | no source found — minimal stub written
FAIL | The Aleph | Borges | no source found — minimal stub written
FAIL | Theory of Games and Economic Behavior | Von Neumann | no source found — minimal stub written
FAIL | Theory of Games and Economic Behavior | Von Neumann | no source found — minimal stub written
